,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,acapulco,16.86,-99.89,87.8,66,20,5.82,MX,1584646412
1,ushuaia,-54.8,-68.3,51.8,71,75,11.41,AR,1584646215
2,hilo,19.73,-155.09,78.8,65,75,4.7,US,1584646412
3,victoria,22.29,114.16,70.0,88,40,2.24,HK,1584646343
4,staraya toropa,56.28,31.67,35.51,78,0,9.71,RU,1584646412
5,bonavista,48.65,-53.11,25.43,68,97,10.78,CA,1584646412
6,tuktoyaktuk,69.45,-133.04,21.2,92,90,11.41,CA,1584646413
7,nuuk,64.18,-51.72,28.4,86,75,27.51,GL,1584646413
8,cherskiy,68.75,161.3,-32.35,94,0,4.27,RU,1584646413
9,airai,-8.93,125.41,66.11,95,100,2.82,TL,1584646413
10,dawlatabad,36.41,64.91,63.77,64,100,18.25,AF,1584646413
11,porto nacional,-10.71,-48.42,80.6,78,40,5.82,BR,1584646413
12,butaritari,3.07,172.79,81.59,82,100,16.64,KI,1584646413
13,hermanus,-34.42,19.23,63.0,87,0,1.48,ZA,1584646413
14,busselton,-33.65,115.33,63.0,54,100,10.63,AU,1584646414
15,albany,42.6,-73.97,50.0,70,90,3.4,US,1584646201
16,la ronge,55.1,-105.28,12.2,33,5,8.05,CA,1584646414
17,atuona,-9.8,-139.03,82.13,76,0,11.77,PF,1584646414
18,kapaa,22.08,-159.32,75.2,94,20,3.36,US,1584646414
19,mataura,-46.19,168.86,51.01,64,0,14.0,NZ,1584646414
20,hobart,-42.88,147.33,55.4,82,75,8.05,AU,1584646414
21,avarua,-21.21,-159.78,75.2,100,100,2.24,CK,1584646414
22,vila,42.03,-8.16,57.99,93,75,2.24,PT,1584646415
23,upala,10.9,-85.01,95.0,32,20,20.8,CR,1584646415
24,new norfolk,-42.78,147.06,55.4,82,75,8.05,AU,1584646415
25,clyde river,70.47,-68.59,-5.8,83,95,32.21,CA,1584646415
